Question,Category,Sub-category / Clause,Audience,Response
What measures do you take to ensure that employees do not leak confidential company data?,Data,A.3.4.d,IT,DLP and USB blocked.
Do you a procedure to dispose of hard copy media? Any paper shredders?,Data,A.3.4.e,IT,"Yes, shredded."
,,,,
"Any vulnerability-assessment (VA) scans conducted? Can you share frequency and remediation details, and who manages this?",Secure/Protect: Virus and Malware Protection,A.4.4,IT,"Yes, quarterly."
"Are there any security controls (e.g., EDR) installed on machines?",Secure/Protect: Virus and Malware Protection,A.4.4a,IT,"Yes, EDR installed."
Any anti-malware solutions in place?,Secure/Protect: Virus and Malware Protection,A.4.4b,IT,Yes.
Are the anti-malware solutions set to auto update at least daily or as frequently as possible?,Secure/Protect: Virus and Malware Protection,A.4.4.c,IT,"Yes, auto-updates."
Is the anti-malware solution set to automatically scan files upon access?,Secure/Protect: Virus and Malware Protection,A.4.4.d,IT,"Yes, real-time scan."
Are website-whitelisting controls implemented (employees can only visit whitelisted sites)?,Secure/Protect: Virus and Malware Protection,A.4.4e,IT,"Yes, whitelisting."
Is there a firewall? Are rules in place to filter malicious traffic and block malicious IPs?,Secure/Protect: Virus and Malware Protection,A.4.4.f,IT,"Yes, traffic filtered."
Is there firewall configured to accept only authorised network traffic into the organisation network?,Secure/Protect: Virus and Malware Protection,A.4.4.f,IT,"Yes, only approved."
"Is there a software firewall being configured? If so, is it switched on for all endpoints in the organisation?",Secure/Protect: Virus and Malware Protection,A.4.4.g,IT,"Yes, all enabled."
How often are the firewall rules being reviewed?,Secure/Protect: Virus and Malware Protection,A.4.4.h,IT,Annually.
Are firewalls installed and enabled on employee's mobile and IoT devices where possible?,Secure/Protect: Virus and Malware Protection,A.4.4.i,IT,"Yes, where possible."
What measures are in place to ensure that employees can only install / access authorised software / documents? ,Secure/Protect: Virus and Malware Protection,A.4.4.j,IT,Whitelisting enforced.
"Are employees aware of the use of trusted network connections (eg. VPN, corporate Wi-Fi) for accessing business data? ",Secure/Protect: Virus and Malware Protection,A.4.4.k,IT,"Yes, VPN/corp Wi-Fi."
Are employees aware of the need to report suspicious emails or attachment immediately?,Secure/Protect: Virus and Malware Protection,A.4.4.l,IT,"Yes, report ASAP."
,,,,
What is the current process for reporting a stolen or lost corporate device?,Secure/Protect: Access Control,A.5.4,IT,Report to IT.
Is there a permanent office location?,Secure/Protect: Access Control,A.5.4,IT,Yes.
Is there a list of login accounts for all workstations and servers?,Secure/Protect: Access Control,A.5.4a,IT,"Yes, tracked."
Does the organization maintain a list of personal devices used to access its networks?,Secure/Protect: Access Control,A.5.4a,IT,"Yes, BYOD listed."
"Does the account inventory list at least include the following? Name, username, department, Role/account type, Date of access created, Last logon date. ",Secure/Protect: Access Control,A.5.4.b,IT,"Yes, all fields."
Is there a formal process (with approvals) to grant and revoke access?,Secure/Protect: Access Control,A.5.4c,IT,"Yes, approval needed."
Is there an access-control policy?,Secure/Protect: Access Control,A.5.4c,IT,"Yes, policy exists."
Does the access-control policy ensure that employees can only access the required data for their job role?,Secure/Protect: Access Control,A.5.4.d,IT,"Yes, role-based."
Is there a process to remove access to data for employees who have reach the end of contract?,Secure/Protect: Access Control,A.5.4.e,IT,"Yes, removed at exit."
Is administrative access only granted with approval from senior management?,Secure/Protect: Access Control,A.5.4.f,IT,"Yes, management approves."
"Is third-party or contractor access limited to required information and systems, and removed when no longer needed?",Secure/Protect: Access Control,A.5.4.g,IT,"Yes, reviewed monthly."
Is there a non-disclosure agreement form for third-party or contractor to sign to prevent data leakage?,Secure/Protect: Access Control,A.5.4.h,IT,"Yes, NDA signed."
"What physical access controls are in place (e.g., card-access door locks)?",Secure/Protect: Access Control,A.5.4i,IT,Card access.
How often are account reviews carried out?,Secure/Protect: Access Control,A.5.4.j,IT,Twice yearly.
Is there a process to remove an account which has been inactive for a prolonged period?,Secure/Protect: Access Control,A.5.4.k,IT,"Yes, after 45 days."
"Is a password policy being enforced? Does all passwords have at least 12 characters, including upper and lower case, and/or special characters? ",Secure/Protect: Access Control,A.5.4.l,IT,"Yes, enforced."
"Are there endpoint controls to detect abnormal account access (e.g., multiple failed logins, logins at odd hours)?",Secure/Protect: Access Control,A.5.4m,IT,"Yes, alerts set."
Does the password policy account for the password reset of a compromised account?,Secure/Protect: Access Control,A.5.4.n,IT,"Yes, reset required."
Is multi-factor authentication (MFA) implemented (2FA)?,Secure/Protect: Access Control,A.5.4o,IT,"Yes, MFA used."
Is there a trusted software to manage passphrases for employees?,Secure/Protect: Access Control,A.5.4.p,IT,"Yes, password manager."
,,,,
Who manages your computer network? Is there a network diagram?,Secure/Protect: Secure Configuration,A.6.4a,IT,IT manages; diagram exists.
Is there a secondary DNS server available?,Secure/Protect: Secure Configuration,A.6.4a,IT,"Yes, backup DNS."
"Does the company maintain a local server (on-premises) or use the cloud? Are staff allowed external access (e.g., from home)?",Secure/Protect: Secure Configuration,A.6.4a,IT,Both; VPN for remote.
"If external access is allowed, is there a VPN for personal devices or other wireless access points?",Secure/Protect: Secure Configuration,A.6.4a,IT,"Yes, VPN."
Are your wireless networks visible from outside the office? Is the SSID hidden?,Secure/Protect: Secure Configuration,A.6.4a,IT,SSID hidden.
"If data is stored physically on-site, does the location have CCTV and security guards? Who has access?",Secure/Protect: Secure Configuration,A.6.4a,IT,"Yes, restricted."
"What other physical controls exist (e.g., visitor sign-in, employee access cards)?",Secure/Protect: Secure Configuration,A.6.4a,IT,Cards and logs.
Are weak or default configuration (e.g. default passwords) avoided or updated before use?,Secure/Protect: Secure Configuration,A.6.4.b,IT,"Yes, changed."
"Are insecure configuration and weak protocols (e.g. HTTP, WEP) replaced or upgraded?",Secure/Protect: Secure Configuration,A.6.4.c,IT,"Yes, secure protocols."
"Are unused features, services or applications disabled or removed?",Secure/Protect: Secure Configuration,A.6.4.d,IT,"Yes, disabled."
Is automatic connection to open networks and auto-run of non-essential programs disabled?,Secure/Protect: Secure Configuration,A.6.4.e,IT,"Yes, disabled."
Is logging enabled for software and hardware asssets where feasible?,Secure/Protect: Secure Configuration,A.6.4.f,IT,"Yes, logging on."
Is there a session log out enabled after 15 minutes of inactivity for user sessions?,Secure/Protect: Secure Configuration,A.6.4.g,IT,"Yes, auto-lock."
"If mobile, IoT or cloud assets are used, are there appropriate security measures in place (e.g. network segregation, cloud monitoring, logging)?",Secure/Protect: Secure Configuration,A.6.4.h,IT,"Yes, controls in place."
,,,,
,,,,
What is the frequency of patching for software and operating‐system vulnerabilities?,Update: Software Updates,A.7.4.a,IT,Critical: 5 days; others: monthly.
Are compatibility tests performed on updates before installation?,Update: Software Updates,A.7.4.b,IT,"Yes, tested first."
Are automatic updates enabled for critical patches where feasible?,Update: Software Updates,A.7.4.c,IT,"Yes, enabled."
"If you use mobile, IoT, or cloud assets, are updates/patches only from trusted sources, IoT devices replaced if unpatched, and cloud shared responsibility understood?",Update: Software Updates,A.7.4.d,IT,"Yes, trusted sources."
,,,,
,,,,
,,,,
Any backup solution for critical services and data?,Backup: Backup Essential Data,A.8.4a,IT,"Yes, daily."
Are backups performed regularly and stored securely?,Backup: Backup Essential Data,A.8.4a,IT,"Yes, encrypted."
What is the backup plan if systems are down or affected?,Backup: Backup Essential Data,A.8.4a,IT,Restore from backup.
"Is there a formal backup policy (systems covered, frequency, storage, recovery testing)?",Backup: Backup Essential Data,A.8.4a,IT,"Yes, reviewed."
Are backup data encrypted?,Backup: Backup Essential Data,A.8.4a,IT,"Yes, encrypted."
"Are backups performed on a regular basis, with the frequency determined by business requirements and data loss tolerance?",Backup: Backup Essential Data,A.8.4.b,IT,"Yes, scheduled."
"Are backups of non-business-critical systems or non-essential information performed, even at lower frequency?",Backup: Backup Essential Data,A.8.4.c,IT,"Yes, weekly."
Is the backup process automated where feasible?,Backup: Backup Essential Data,A.8.4.d,IT,"Yes, automated."
"If you use cloud assets, is the shared responsibility model for backup understood and implemented?",Backup: Backup Essential Data,A.8.4.e,IT,"Yes, roles set."
"If you use mobile or IoT assets, are essential data backed up appropriately?",Backup: Backup Essential Data,A.8.4.f,IT,"Yes, mobile backed up."
Are backups protected from unauthorized access and restricted to authorized personnel only? Is there at least a password protection for the backup?,Backup: Backup Essential Data,A.8.4.g,IT,"Yes, restricted."
"Are backups stored separately (offline) from the operating environment, and where feasible, stored offsite?",Backup: Backup Essential Data,A.8.4.h,IT,"Yes, offsite."
Are frequent backups stored online for quick recovery?,Backup: Backup Essential Data,A.8.4.i,IT,"Yes, online."
"Are longer term backups stored offline in a secure external location? For example, password-protected USB flash drive?",Backup: Backup Essential Data,A.8.4.j,IT,"Yes, offline."
Are backups tested at least bi-annually to ensure effective restoration?,Backup: Backup Essential Data,A.8.4.k,IT,"Yes, tested."
,,,,
Is there a process for employees to report suspicious emails or attachments?,Respond: Incident Response,A.9.4,IT,"Yes, via IT."
"Do floods or other natural occurrences affect operations? If so, what is the disaster-recovery plan (e.g., for fire or flood destroying customer data)?",Respond: Incident Response,A.9.4,IT,"Yes, BCP covers."
Is there a business-continuity plan in place?,Respond: Incident Response,A.9.4a,IT,"Yes, plan exists."
Is there an incident-response plan (IRP) for cybersecurity and data breaches?,Respond: Incident Response,A.9.4a,IT,"Yes, IRP in place."
"Does the incident-response plan include responsibilities of key personnel, procedures to detect,respond and recover from the threat and a communication timeline?",Respond: Incident Response,A.9.4.a,IT,"Yes, details included."
Are all employees aware of the incident response plan? How do you make sure?,Respond: Incident Response,A.9.4.b,IT,"Yes, all briefed."
Is there a post-incident review to incorporate learning points and to strengthen and improve the incident response  plan?,Respond: Incident Response,A.9.4.c,IT,"Yes, reviewed after."
Is the incident response plan at least reviewed anually?,Respond: Incident Response,A.9.4.d,IT,"Yes, annual review."
