Item,Questions,Audience,Response from meeting,(company) email response
36,Is there a permanent office?,Owner,Yes,Yes
37,Is there an access control policy in place?,"Owner, IT",no,No
38,Are there MFA implemented? two-factor authentication (2FA),IT,"yes, using microsoft authenticator",No
39,"Any controls in place i.e firewalls, EDR on endpoints to monitor account access to detect and identify any abnormalities such as multiple  failed logins within a short period of time, as well as logins during odd timings.",IT,"access to NAS is by password only, no additional access control",No
40,Is there a process in place whereby employees report any suspicious email or attachment to the IT team and/or senior management immediately?,"Owner, IT, HR","Adhoc, Verbal",Report to Director directly
41,Any anti-malware solutions in place?,IT,"yes, windows defender",No
42,"Are there website whitelisting implemented, where employees can only visit the whitelisted sites?",IT,No,No
43,Does the company maintain a local server (in physical office) or is it on cloud? Are the staff allowed to access these resources from external (i.e home),"Owner, IT",NAS physical,Yes
44,"If so, is there VPN (virtual private network) to access company data when using personal device or other wireless access points","Owner, IT","No VPN. May consider VPN. No access to org NAS from outside org. 
Physical access to NAS, not accessible online.",No
45,Are the organisation's wireless networks visible from outside the office? Is the SSID hidden?,"Owner, IT","yes, ssid is not hidden but protected with password",Yes
46,Does the organisation maintain a list of personal devices used to access organisation's networks? ,"Owner, IT, HR","no, but want to implement.",No
47,Any disciplinary actions for employees when fail to comply to data security policy?,"Owner, IT, HR",don't have any at the moment,Yes
48,Is there a incident response plan (IRP) in place for cybersecurity and data breach incident?,"Owner, IT",No,No
49,"Is there a backup policy? What are the systems to back up, frequency, storage and recovery testing etc?",IT,no,No
50,Is there a change request? Who is approving it and who manages it?,IT,"adhoc, verbal request",Report to Director directly
51,Are the backup data encrypted?,IT,"copy and paste, not using any backup software/procesure",Yes
52,"If the data is stored physically in the office, does the place have cctvs, security guards? Who has access to these data?",Owner,"cctv, office is located within a building that has their own security guard",Yes
53,"Are there physical controls such as security guards, cctvs, vistors sign in, employee access cards in the office building?","Owner, HR","cctv, office is located within a building that has their own security guard. Facial recognition is used for emploees to access the office. ",Yes
54,"what is the current procedure to dispose physical assets such as laptops, hard disks, USB?","Owner, IT, HR",there is no procedure currently,No procedure
55,Are there any procedure in plan for media destruction in USB?,"Owner, IT, HR",there is no procedure currently,No
56,What is the frequency of patching for vulnerabilites in software and OS? ,IT,"not controlled, only follow automatic updates",No
57,"Does flood or any natural occurences affect the operations of organisation? If so, what is the disaster recovery plan when
there is a fire/flood that destroy customers details in the system?","Owner, IT","not in place, can have a DR plan if needed",No
58,Could you describe your current network setup?,,small-to-medium office network using TP-Link Omada for centralized configuration,
59,"Are there any constraints, such as budget or existing hardware limitations?",,need to filter inbound and outbound traffic for compliance but don’t have the budget for a standalone firewall appliance,
60,What physical access do visitors and employees have to the office?,,vistors only stay at reception area. Staff enters office by biometrics,
61,Which key personnel do you currently have who would be involved in the incident response plan?,,IT team and vCISO with retainer ,
